location_code,fiscal_year,total,type
M030,2018,5830440,budget
M030,2019,5702230,budget
M030,2020,5677318,budget
M030,2021,5586738,budget
M030,2022,5490551,budget
M036,2018,6480667,budget
M036,2019,6705048,budget
M036,2020,6837152,budget
M036,2021,6853434,budget
M036,2022,7262792,budget
M046,2018,7620097,budget
M046,2019,8325404,budget
M046,2020,8239311,budget
M046,2021,8357774,budget
M046,2022,9320309,budget
M092,2018,4445337,budget
M092,2019,4630609,budget
M092,2020,4607173,budget
M092,2021,4587448,budget
M092,2022,4522231,budget
M123,2018,7904112,budget
M123,2019,7457720,budget
M123,2020,6893315,budget
M123,2021,6822129,budget
M123,2022,7805259,budget
M125,2018,4117817,budget
M125,2019,4364282,budget
M125,2020,4408817,budget
M125,2021,4661088,budget
M125,2022,4634820,budget
M129,2018,6278359,budget
M129,2019,6852478,budget
M129,2020,6500134,budget
M129,2021,6951196,budget
M129,2022,6715505,budget
M133,2018,4084840,budget
M133,2019,5262284,budget
M133,2020,5470885,budget
M133,2021,5581077,budget
M133,2022,6641533,budget
M148,2018,3605978,budget
M148,2019,4418746,budget
M148,2020,4620684,budget
M148,2021,4950723,budget
M148,2022,5394196,budget
M154,2018,4662596,budget
M154,2019,4922559,budget
M154,2020,5073177,budget
M154,2021,4916809,budget
M154,2022,5440268,budget
M157,2018,2522803,budget
M157,2019,3079172,budget
M157,2020,3085686,budget
M157,2021,3351371,budget
M157,2022,3447767,budget
M161,2018,9700059,budget
M161,2019,10412717,budget
M161,2020,9932876,budget
M161,2021,10111703,budget
M161,2022,10777549,budget
M175,2018,4021239,budget
M175,2019,4747165,budget
M175,2020,4908706,budget
M175,2021,5221118,budget
M175,2022,5607007,budget
M194,2018,3672276,budget
M194,2019,3991460,budget
M194,2020,3745782,budget
M194,2021,3393555,budget
M194,2022,3649826,budget
M197,2018,5400781,budget
M197,2019,5953118,budget
M197,2020,6160330,budget
M197,2021,6079972,budget
M197,2022,6088403,budget
M200,2018,6304897,budget
M200,2019,6489695,budget
M200,2020,6582806,budget
M200,2021,6468040,budget
M200,2022,7004984,budget
M285,2018,2853068,budget
M285,2019,3588458,budget
M285,2020,3219623,budget
M285,2021,3481692,budget
M285,2022,3594542,budget
M286,2018,2643435,budget
M286,2019,2934162,budget
M286,2020,2762261,budget
M286,2021,2645059,budget
M286,2022,3088985,budget
M302,2018,2565430,budget
M304,2018,3044219,budget
M304,2019,3220988,budget
M304,2020,2885619,budget
M304,2021,2882986,budget
M304,2022,3179020,budget
M318,2018,2410537,budget
M318,2019,2468947,budget
M318,2020,2525432,budget
M318,2021,2684598,budget
M318,2022,3259777,budget
M362,2018,5481041,budget
M362,2019,5902084,budget
M362,2020,6182844,budget
M362,2021,6591408,budget
M362,2022,7760658,budget
M367,2018,2102830,budget
M369,2018,3425343,budget
M369,2019,3959011,budget
M369,2020,4095673,budget
M369,2021,4275840,budget
M369,2022,5033497,budget
M499,2018,10786013,budget
M499,2019,11714004,budget
M499,2020,11358448,budget
M499,2021,10722744,budget
M499,2022,11461424,budget
M514,2018,2147803,budget
M514,2019,2517777,budget
M514,2020,2899317,budget
M514,2021,3376592,budget
M514,2022,3534419,budget
M517,2018,2581436,budget
M517,2019,3153974,budget
M517,2020,3805984,budget
M517,2021,3799161,budget
M517,2022,4380284,budget
M670,2018,5070746,budget
M670,2019,5622715,budget
M670,2020,5930621,budget
M670,2021,7056062,budget
M670,2022,7876366,budget
M692,2018,4394142,budget
M692,2019,4644996,budget
M692,2020,4726927,budget
M692,2021,4748351,budget
M692,2022,5272509,budget
